epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,22767,0.4517,0.3344,1.04906,0.99417,0.98755,0.99486,0.9767,0.20054,0.14142,0.84153,0.0004885,0.0004885,0.0004885
157,22911.6,0.45184,0.32822,1.04646,0.99204,0.98584,0.99477,0.97687,0.20045,0.14212,0.84024,0.0004852,0.0004852,0.0004852
158,23056,0.45131,0.33893,1.04851,0.99246,0.98828,0.99484,0.97611,0.20103,0.14289,0.84102,0.0004819,0.0004819,0.0004819
159,23200.6,0.45489,0.33455,1.05185,0.99343,0.98712,0.99484,0.97695,0.20052,0.1419,0.84128,0.0004786,0.0004786,0.0004786
160,23345.4,0.4476,0.33198,1.04194,0.99369,0.98596,0.9948,0.97682,0.20014,0.14107,0.83873,0.0004753,0.0004753,0.0004753
161,23489.8,0.44838,0.33342,1.04033,0.99331,0.98719,0.99482,0.97781,0.1976,0.14041,0.83761,0.000472,0.000472,0.000472
162,23634.2,0.44988,0.33556,1.04343,0.99412,0.98534,0.99483,0.97737,0.1996,0.14286,0.83805,0.0004687,0.0004687,0.0004687
163,23783.4,0.44235,0.32719,1.0394,0.99216,0.98756,0.99483,0.9772,0.19847,0.14123,0.83898,0.0004654,0.0004654,0.0004654
164,23934.9,0.45141,0.33198,1.04652,0.99173,0.9891,0.99483,0.97694,0.19721,0.14049,0.83863,0.0004621,0.0004621,0.0004621
165,24081.4,0.44372,0.32379,1.04,0.99223,0.98879,0.99483,0.97834,0.19607,0.13848,0.83739,0.0004588,0.0004588,0.0004588
166,24232.2,0.43795,0.32268,1.03758,0.99306,0.98757,0.99483,0.9785,0.1964,0.13814,0.83869,0.0004555,0.0004555,0.0004555
167,24389.9,0.45164,0.33325,1.04569,0.99392,0.98621,0.9948,0.97775,0.1958,0.13811,0.83772,0.0004522,0.0004522,0.0004522
168,24542,0.43216,0.31871,1.03249,0.99207,0.98818,0.99483,0.97865,0.19499,0.13767,0.83645,0.0004489,0.0004489,0.0004489
169,24688,0.4423,0.32637,1.04034,0.99221,0.98837,0.99484,0.97833,0.1934,0.13661,0.83453,0.0004456,0.0004456,0.0004456
170,24834,0.44106,0.32462,1.03898,0.9938,0.98734,0.99484,0.97909,0.19256,0.13682,0.83208,0.0004423,0.0004423,0.0004423
171,24980.4,0.44038,0.32449,1.0397,0.99405,0.98757,0.99484,0.97996,0.1914,0.13552,0.83188,0.000439,0.000439,0.000439
172,25126.4,0.44047,0.3271,1.03978,0.99467,0.98771,0.99488,0.97988,0.19186,0.1338,0.83337,0.0004357,0.0004357,0.0004357
173,25272.6,0.44034,0.32271,1.03607,0.9959,0.98748,0.99487,0.97942,0.19137,0.13396,0.83256,0.0004324,0.0004324,0.0004324
174,25418.2,0.4353,0.32017,1.03342,0.99528,0.98742,0.99488,0.97995,0.19089,0.13351,0.83268,0.0004291,0.0004291,0.0004291
175,25564.1,0.43098,0.31797,1.03362,0.99382,0.98999,0.9949,0.97956,0.18986,0.13259,0.83286,0.0004258,0.0004258,0.0004258
176,25714.4,0.43696,0.32118,1.03996,0.99332,0.98941,0.99489,0.9803,0.18825,0.13172,0.83234,0.0004225,0.0004225,0.0004225
177,25863.3,0.43086,0.318,1.03425,0.99394,0.98965,0.99489,0.98045,0.18839,0.13096,0.83167,0.0004192,0.0004192,0.0004192
178,26010.6,0.4373,0.32142,1.03679,0.99345,0.98957,0.9949,0.9801,0.18872,0.13057,0.83245,0.0004159,0.0004159,0.0004159
